"fixed.acidity";"volatile.acidity";"citric.acid";"residual.sugar";"chlorides";"free.sulfur.dioxide";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality"
7;0.27;0.36;3.03013370027132;0.045;45;170;1.001;3;-0.798507696217772;2.17475172148416;"6"
6.3;0.3;0.34;0.470003629245736;0.049;14;132;0.994;3.3;-0.713349887877465;2.2512917986065;"6"
8.1;0.28;0.4;1.93152141160321;0.05;30;97;0.9951;3.26;-0.82098055206983;2.31253542384721;"6"
7.2;0.23;0.32;2.14006616349627;0.058;47;186;0.9956;3.19;-0.916290731874155;2.29253475714054;"6"
7.2;0.23;0.32;2.14006616349627;0.058;47;186;0.9956;3.19;-0.916290731874155;2.29253475714054;"6"
8.1;0.28;0.4;1.93152141160321;0.05;30;97;0.9951;3.26;-0.82098055206983;2.31253542384721;"6"
6.2;0.32;0.16;1.94591014905531;0.045;30;136;0.9949;3.18;-0.755022584278033;2.26176309847379;"6"
7;0.27;0.36;3.03013370027132;0.045;45;170;1.001;3;-0.798507696217772;2.17475172148416;"6"
6.3;0.3;0.34;0.470003629245736;0.049;14;132;0.994;3.3;-0.713349887877465;2.2512917986065;"6"
8.1;0.22;0.43;0.405465108108164;0.044;28;129;0.9938;3.22;-0.798507696217772;2.39789527279837;"6"
8.1;0.27;0.41;0.371563556432483;0.033;11;63;0.9908;2.99;-0.579818495252942;2.484906649788;"5"
8.6;0.23;0.4;1.43508452528932;0.035;17;109;0.9947;3.14;-0.63487827243597;2.27212588550934;"5"
7.9;0.18;0.37;0.182321556793955;0.04;16;75;0.992;3.18;-0.462035459596559;2.37954613413017;"5"
6.6;0.16;0.4;0.405465108108164;0.044;48;143;0.9912;3.54;-0.653926467406664;2.51769647261099;"7"
6.6;0.17;0.38;0.405465108108164;0.032;28;112;0.9914;3.25;-0.59783700075562;2.43361335540045;"7"
6.3;0.48;0.04;0.0953101798043249;0.046;30;99;0.9928;3.24;-1.02165124753198;2.26176309847379;"6"
7.4;0.34;0.42;0.0953101798043249;0.033;17;171;0.9917;3.12;-0.63487827243597;2.42480272571829;"6"
6.5;0.31;0.14;2.01490302054226;0.044;34;133;0.9955;3.22;-0.693147180559945;2.2512917986065;"5"
6.4;0.31;0.38;1.06471073699243;0.038;19;102;0.9912;3.17;-1.04982212449868;2.39789527279837;"7"
6.8;0.26;0.42;0.53062825106217;0.049;41;122;0.993;3.47;-0.7339691750802;2.35137525716348;"8"
6.6;0.27;0.41;0.262364264467491;0.052;16;142;0.9951;3.42;-0.755022584278033;2.30258509299405;"6"
7;0.25;0.32;2.19722457733622;0.046;56;245;0.9955;3.25;-0.693147180559945;2.34180580614733;"6"
6.9;0.24;0.35;0;0.052;35;146;0.993;3.45;-0.82098055206983;2.30258509299405;"6"
7;0.28;0.39;2.16332302566054;0.051;32;141;0.9961;3.38;-0.63487827243597;2.35137525716348;"6"
7.4;0.27;0.48;0.0953101798043249;0.047;17;132;0.9914;3.19;-0.713349887877465;2.45100509811232;"6"
7.2;0.32;0.36;0.693147180559945;0.033;37;114;0.9906;3.1;-0.342490308946776;2.50959926237837;"7"
8.5;0.24;0.39;2.34180580614733;0.044;20;142;0.9974;3.2;-0.63487827243597;2.30258509299405;"6"
8.3;0.14;0.34;0.0953101798043249;0.042;7;47;0.9934;3.47;-0.916290731874155;2.32238772029023;"6"
7.4;0.25;0.36;0.717839793150317;0.05;31;100;0.992;3.19;-0.82098055206983;2.37954613413017;"6"
6.2;0.12;0.34;0.405465108108164;0.045;43;117;0.9939;3.42;-0.673344553263766;2.19722457733622;"6"
5.8;0.27;0.2;2.7047112998367;0.044;22;179;0.9962;3.37;-0.994252273343867;2.32238772029023;"5"
6.5;0.39;0.23;1.68639895357023;0.051;25;149;0.9934;3.24;-1.04982212449868;2.30258509299405;"5"
7;0.33;0.32;0.182321556793955;0.053;38;138;0.9906;3.13;-1.27296567581289;2.41591377830105;"6"
7.3;0.24;0.39;2.88759011493429;0.057;45;149;0.9999;3.21;-1.02165124753198;2.15176220325946;"5"
7.3;0.24;0.39;2.88759011493429;0.057;45;149;0.9999;3.21;-1.02165124753198;2.15176220325946;"5"
7;0.31;0.26;2.00148000021012;0.069;28;160;0.9954;3.13;-0.776528789498996;2.28238238567653;"6"
6.6;0.24;0.27;0.336472236621213;0.057;33;152;0.9934;3.22;-0.579818495252942;2.2512917986065;"6"
